"Business","Brand","Product_Family","Item","DemandType"
"Vision Electronics","AffordoTech","Computers","AT6755000"
"Vision Electronics","AffordoTech","Computers","AT6751000"
"Vision Electronics","AffordoTech","Computers","AT6752000"
"Vision Electronics","AffordoTech","Computers","AT6751010"
"Vision Electronics","AffordoTech","Computers","AT6755010"
"Vision Electronics","AffordoTech","Computers","CM50016"
"Vision Electronics","AffordoTech","Computers","CM53037"
"Vision Electronics","AffordoTech","Computers","CM53039"
"Vision Electronics","AffordoTech","Computers","CM53038"
"Vision Electronics","AffordoTech","Computers","CM53035"
"Vision Electronics","AffordoTech","Computers","CM53036"
"Vision Electronics","AffordoTech","Computers","CM50011"
"Vision Electronics","AffordoTech","Computers","CM50010"
"Vision Electronics","AffordoTech","Computers","CM50008"
"Vision Electronics","AffordoTech","Computers","CM50015"
"Vision Electronics","AffordoTech","Computers","CM50013"
"Vision Electronics","AffordoTech","Computers","CM50009"
"Vision Electronics","AffordoTech","Computers","CM50012"
"Vision Electronics","AffordoTech","Computers","CM50014"
"Vision Electronics","AffordoTech","Computers","CM53060"
"Vision Electronics","AffordoTech","Computers","AS09743"
"Vision Electronics","AffordoTech","Computers","AS09745"
"Vision Electronics","AffordoTech","Computers","CM42053"
"Vision Electronics","AffordoTech","Computers","CM42049"
"Vision Electronics","AffordoTech","Computers","CM42057"
"Vision Electronics","AffordoTech","Computers","CM42052"
"Vision Electronics","AffordoTech","Computers","AS09746"
"Vision Electronics","AffordoTech","Computers","AS09744"
"Vision Electronics","AffordoTech","Computers","CM42058"
"Vision Electronics","AffordoTech","Computers","CM42051"
"Vision Electronics","AffordoTech","Computers","AS00120"
"Vision Electronics","AffordoTech","Computers","CM42059"
"Vision Electronics","AffordoTech","Computers","CM42050"
"Vision Electronics","AffordoTech","Computers","AS06502"
"Vision Electronics","AffordoTech","Computers","CM53058"
"Vision Electronics","AffordoTech","Computers","CM53059"
"Vision Electronics","AffordoTech","Computers","AS6647433"
"Vision Electronics","AffordoTech","Computers","AS6647432"
"Vision Electronics","AffordoTech","Computers","AS6647431"
"Vision Electronics","AffordoTech","Computers","AS4751100"
"Vision Electronics","AffordoTech","Computers","AS6647434"
"Vision Electronics","AffordoTech","Computers","AS6647332"
"Vision Electronics","AffordoTech","Computers","AS6648332"
"Vision Electronics","AffordoTech","Computers","AS4751300"
"Vision Electronics","AffordoTech","Computers","AS6648334"
"Vision Electronics","AffordoTech","Computers","AS4751500"
"Vision Electronics","AffordoTech","Computers","AS85030"
"Vision Electronics","AffordoTech","Computers","AS6647435"
"Vision Electronics","AffordoTech","Computers","AS6647440"
"Vision Electronics","AffordoTech","Computers","AS6648335"
"Vision Electronics","AffordoTech","Computers","AS6647439"
"Vision Electronics","AffordoTech","Computers","AS6647438"
"Vision Electronics","AffordoTech","Computers","AS6647437"
"Vision Electronics","AffordoTech","Computers","AS6647436"
"Vision Electronics","AffordoTech","Computers","AS6647331"
"Vision Electronics","AffordoTech","Computers","AS6647333"
"Vision Electronics","AffordoTech","Computers","AS6648331"
"Vision Electronics","AffordoTech","Computers","AS6648333"
