"Item","Location","Status","LifeCycle","TrendNPI","TrendCORE","TrendEOL","DateNPI","DateCORE","DateEOL","SafetyStockType","InitialSafetyStockValue"
"AT6755000","Computer Service and Rentals","Active","Core","Intermittent","Slope01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","14"
"AT6751010","Business World","Active","Core","Slope01","Combined01","Intermittent","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","78"
"AT6755010","Computer Service and Rentals","Active","EOL","Combined01","Combined01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","75"
"CM50016","Computer Service and Rentals","Active","Core","Combined01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","2"
"CM50016","Accelworks Pvt Ltd","Active","Core","Combined01","Combined01","Intermittent","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","6"
"CM53037","Accelworks Pvt Ltd","Active","NPI","Seasonal01","Combined01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","11"
"CM53039","Business World","Active","NPI","Seasonal01","Seasonal01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","80"
"CM53038","Business World","Inactive","EOL","Combined01","Slope01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","29"
"CM53038","Computer Service and Rentals","Active","EOL","Combined01","Slope01","Intermittent","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","77"
"CM53038","Accelworks Pvt Ltd","Active","EOL","Combined01","Slope01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","50"
"CM53035","Business World","Active","Core","Combined01","Slope01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","37"
"CM50011","Accelworks Pvt Ltd","Active","Core","Combined01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","100"
"CM50010","Business World","Active","EOL","Slope01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","68"
"CM50008","Computer Service and Rentals","Active","Core","Combined01","Seasonal01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","36"
"CM50015","Business World","Active","EOL","Slope01","Seasonal01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","73"
"CM50013","Accelworks Pvt Ltd","Active","NPI","Combined01","Intermittent","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","84"
"CM50012","Business World","Inactive","EOL","Seasonal01","Combined01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","89"
"CM50012","Computer Service and Rentals","Active","Core","Combined01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","92"
"CM50014","Computer Service and Rentals","Active","EOL","Combined01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","59"
"CM50014","Accelworks Pvt Ltd","Active","Core","Slope01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","3"
"CM53060","Business World","Active","NPI","Slope01","Combined01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","2"
"CM53060","Accelworks Pvt Ltd","Active","EOL","Combined01","Combined01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","49"
"AS09743","Computer Service and Rentals","Active","EOL","Combined01","Seasonal01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","18"
"AS09745","Accelworks Pvt Ltd","Active","EOL","Combined01","Slope01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","64"
"CM42053","Accelworks Pvt Ltd","Active","Core","Combined01","Combined01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","24"
"CM42049","Accelworks Pvt Ltd","Active","NPI","Slope01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","97"
"AS09746","Business World","Active","EOL","Combined01","Slope01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","55"
"CM42058","Computer Service and Rentals","Active","EOL","Combined01","Combined01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","56"
"CM42058","Accelworks Pvt Ltd","Active","EOL","Seasonal01","Seasonal01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","10"
"CM42051","Business World","Active","EOL","Seasonal01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","3"
"AS00120","Business World","Active","Core","Combined01","Slope01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","53"
"AS00120","Accelworks Pvt Ltd","Inactive","EOL","Combined01","Slope01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","27"
"CM42059","Computer Service and Rentals","Active","EOL","Combined01","Slope01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","46"
"CM42059","Accelworks Pvt Ltd","Inactive","EOL","Combined01","Seasonal01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","39"
