"WorldRegion","Country","Region","SubRegion","ShipToLocation"
"AMER","USA","All","All","AMERA001"
"AMER","USA","All","All","AMERA002"
"AMER","USA","All","All","AMERA003"
"AMER","Canada","All","All","AMERB0001"
"AMER","Canada","All","All","AMERB0002"
"AMER","Canada","All","All","AMERB0003"
"AMER","Canada","All","All","AMERB0004"
"AMER","Canada","All","All","AMERB0005"
"AMER","Canada","All","All","AMERB0006"
"AMER","Mexico","All","All","AMERC001"
"AMER","Mexico","All","All","AMERC002"
"AMER","Mexico","All","All","AMERC003"
"AMER","Mexico","All","All","AMERC004"
"AMER","Mexico","All","All","AMERC005"
"AMER","Guatemala","All","All","AMERD0000001"
"AMER","Guatemala","All","All","AMERD0000002"
"AMER","Guatemala","All","All","AMERD0000003"
"AMER","Guatemala","All","All","AMERD0000004"
"AMER","Guatemala","All","All","AMERD0000005"
"AMER","Guatemala","All","All","AMERD0000006"
"AMER","Argentina","All","All","AMERE001"
"EMEA","England","All","All","EMEAA001"
"EMEA","England","All","All","EMEAA002"
"EMEA","England","All","All","EMEAA003"
"EMEA","England","All","All","EMEAA004"
"EMEA","France","All","All","EMEAB00001"
"EMEA","France","All","All","EMEAB00002"
"EMEA","France","All","All","EMEAB00003"
"EMEA","France","All","All","EMEAB00004"
"EMEA","France","All","All","EMEAB00005"
"EMEA","France","All","All","EMEAB00006"
"EMEA","France","All","All","EMEAB00007"
"EMEA","France","All","All","EMEAB00008"
"EMEA","Israel","All","All","EMEAC001"
"EMEA","Israel","All","All","EMEAC002"
"EMEA","Israel","All","All","EMEAC003"
"EMEA","Israel","All","All","EMEAC004"
"EMEA","South Africa","All","All","EMEAD0001"
"EMEA","South Africa","All","All","EMEAD0002"
"EMEA","South Africa","All","All","EMEAD0003"
"EMEA","South Africa","All","All","EMEAD0004"
"APAC","Japan","All","All","APACA001"
"APAC","Japan","All","All","APACA002"
"APAC","China","All","All","APACB000001"
"APAC","China","All","All","APACB000002"
"APAC","Philippines","All","All","APACC001"
"APAC","Philippines","All","All","APACC002"
"APAC","Philippines","All","All","APACC003"
"APAC","Australia","All","All","APACD001"
"APAC","Australia","All","All","APACD002"
"APAC","Australia","All","All","APACD003"
"APAC","Australia","All","All","APACD004"
